SampleID;Temp;COD_in;COD_eff;COD_removal;TAN_in;TAN_eff;TAN_removal;HRT;;;
OD0OT0.48;15.00;NA;NA;NA;NA;NA;NA;3;;;
OD0OT0.71;15.10;NA;NA;NA;NA;NA;NA;3;;;
OD1OT1.35;15.10;1960.00;441.50;0.77;46.62;0.55;0.99;3;;;
OD1OT1.4;15.00;NA;NA;NA;NA;NA;NA;3;;;
OD1OT1.75;15.10;NA;NA;NA;NA;NA;NA;3;;;
OD4OT4.35;15.80;2075.00;446.50;0.78;55.06;0.00;1.00;3;;;
OD4OT4.42;15.40;NA;NA;NA;NA;NA;NA;3;;;
OD4OT4.71;15.40;NA;NA;NA;NA;NA;NA;3;;;
OD5OT5.38;16.00;NA;NA;NA;NA;NA;NA;3;;;
OD5OT5.65;16.00;NA;NA;NA;NA;NA;NA;3;;;
OD6OT6.38;16.30;NA;NA;NA;NA;NA;NA;3;;;
OD6OT6.65;16.20;NA;NA;NA;NA;NA;NA;3;;;
OD7OT7.35;16.40;NA;NA;NA;NA;NA;NA;3;;;
OD7OT7.4;16.40;NA;NA;NA;NA;NA;NA;3;;;
OD7OT7.74;16.70;NA;NA;NA;NA;NA;NA;3;;;
OD8OT8.35;17.00;1790.00;152.00;0.92;26.08;0.05;1.00;3;;;
OD8OT8.4;16.80;NA;NA;NA;NA;NA;NA;3;;;
OD8OT8.68;16.80;NA;NA;NA;NA;NA;NA;3;;;
OD11OT11.35;16.80;2320.00;129.50;0.94;27.94;0.08;1.00;3;;;
OD11OT11.46;16.80;NA;NA;NA;NA;NA;NA;3;;;
OD11OT11.5;16.70;NA;NA;NA;NA;NA;NA;3;;;
OD11OT11.75;16.70;NA;NA;NA;NA;NA;NA;3;;;
OD12OT12.38;17.30;NA;NA;NA;NA;NA;NA;3;;;
OD12OT12.69;17.20;NA;NA;NA;NA;NA;NA;3;;;
OD13OT13.46;NA;NA;NA;NA;NA;NA;NA;3;;;
OD13OT13.68;16.90;NA;NA;NA;NA;NA;NA;3;;;
OD14OT14.38;16.80;NA;NA;NA;NA;NA;NA;3;;;
OD14OT14.42;16.80;NA;NA;NA;NA;NA;NA;3;;;
OD14OT14.65;16.70;NA;NA;NA;NA;NA;NA;3;;;
OD15OT15.38;17.20;2105.00;128.50;0.94;39.42;0.11;1.00;3;;;
OD15OT15.46;17.20;NA;NA;NA;NA;NA;NA;3;;;
OD15OT15.73;17.40;NA;NA;NA;NA;NA;NA;3;;;
OD18OT18.38;17.20;2220.00;117.00;0.95;99.81;0.15;1.00;3;;;
OD18OT18.46;17.00;NA;NA;NA;NA;NA;NA;3;;;
OD18OT18.5;17.00;NA;NA;NA;NA;NA;NA;3;;;
OD18OT18.75;17.10;NA;NA;NA;NA;NA;NA;3;;;
OD19OT19.38;16.90;NA;NA;NA;NA;NA;NA;3;;;
OD19OT19.69;16.70;NA;NA;NA;NA;NA;NA;3;;;
OD20OT20.41;16.70;NA;NA;NA;NA;NA;NA;3;;;
OD20OT20.71;16.40;NA;NA;NA;NA;NA;NA;3;;;
OD21OT21.33;15.80;NA;NA;NA;NA;NA;NA;3;;;
OD21OT21.38;15.80;NA;NA;NA;NA;NA;NA;3;;;
OD21OT21.75;15.80;NA;NA;NA;NA;NA;NA;3;;;
OD23OT23.38;16.30;2610.00;104.50;0.96;65.35;0.01;1.00;3;;;
OD23OT23.4;16.30;NA;NA;NA;NA;NA;NA;3;;;
OD26OT26.42;16.60;2605.00;124.50;0.95;72.28;0.26;1.00;3;;;
OD26OT26.46;16.60;NA;NA;NA;NA;NA;NA;3;;;
OD26OT26.69;16.60;NA;NA;NA;NA;NA;NA;3;;;
OD27OT27.35;17.40;NA;NA;NA;NA;NA;NA;3;;;
OD27OT27.72;17.60;NA;NA;NA;NA;NA;NA;3;;;
OD28OT28.38;18.60;NA;NA;NA;NA;NA;NA;3;;;
OD28OT28.67;18.00;NA;NA;NA;NA;NA;NA;3;;;
OD29OT29.38;18.00;NA;NA;NA;NA;NA;NA;3;;;
OD29OT29.4;18.00;NA;NA;NA;NA;NA;NA;3;;;
OD29OT29.42;18.00;NA;NA;NA;NA;NA;NA;3;;;
OD29OT29.69;7.57;NA;NA;NA;NA;NA;NA;3;;;
OD30OT30.13;NA;NA;NA;NA;NA;NA;NA;3;;;
OD32OT32.38;15.90;2185.00;106.50;0.95;61.16;0.00;1.00;3;;;
OD32OT32.44;15.70;NA;NA;NA;NA;NA;NA;3;;;
OD32OT32.71;15.90;NA;NA;NA;NA;NA;NA;3;;;
OD33OT33.38;16.90;NA;NA;NA;NA;NA;NA;3;;;
OD33OT33.67;17.00;NA;NA;NA;NA;NA;NA;3;;;
OD34OT34.39;17.20;NA;NA;NA;NA;NA;NA;3;;;
OD34OT34.69;17.30;NA;NA;NA;NA;NA;NA;3;;;
